
> rae-reputation-arbitrage-engine@0.1.0 sensitivity:replacement
> tsx scripts/replacement-sensitivity.ts

# Replacement-level sensitivity sweep
# generated 2026-08-20T13:51:45.976Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
10T PPR 1QB            1.30      13   32   33   13
10T PPR 1QB            1.40      14   34   36   14
10T PPR SFLEX          1.00      20   24   26   10
10T PPR SFLEX          1.10      22   27   28   11
10T PPR SFLEX          1.20      24   29   31   12
10T PPR SFLEX          1.30      26   32   33   13
10T PPR SFLEX          1.40      28   34   36   14
10T PPR 2QB            1.00      20   24   26   10
10T PPR 2QB            1.10      22   27   28   11
10T PPR 2QB            1.20      24   29   31   12
10T PPR 2QB            1.30      26   32   33   13
10T PPR 2QB            1.40      28   34   36   14
10T PPR 2TE            1.00      10   24   25   22
10T PPR 2TE            1.10      11   26   27   24
10T PPR 2TE            1.20      12   28   29   26
10T PPR 2TE            1.30      13   31   32   28
10T PPR 2TE            1.40      14   33   34   31
10T PPR noK            1.00      10   24   26   10
10T PPR noK            1.10      11   27   28   11
10T PPR noK            1.20      12   29   31   12
10T PPR noK            1.30      13   32   33   13
10T PPR noK            1.40      14   34   36   14
10T PPR 0FLEX          1.00      10   20   20   10
10T PPR 0FLEX          1.10      11   22   22   11
10T PPR 0FLEX          1.20      12   24   24   12
10T PPR 0FLEX          1.30      13   26   26   13
10T PPR 0FLEX          1.40      14   28   28   14
10T PPR 3FLEX          1.00      10   33   37   10
10T PPR 3FLEX          1.10      11   37   40   11
10T PPR 3FLEX          1.20      12   40   44   12
10T PPR 3FLEX          1.30      13   43   48   13
10T PPR 3FLEX          1.40      14   47   51   14
10T PPR redraft        1.00      10   24   26   10
10T PPR redraft        1.10      11   27   28   11
10T PPR redraft        1.20      12   29   31   12
10T PPR redraft        1.30      13   32   33   13
10T PPR redraft        1.40      14   34   36   14
10T PPR keeper         1.00      10   24   26   10
10T PPR keeper         1.10      11   27   28   11
10T PPR keeper         1.20      12   29   31   12
10T PPR keeper         1.30      13   32   33   13
10T PPR keeper         1.40      14   34   36   14
10T PPR dynasty        1.00      10   24   26   10
10T PPR dynasty        1.10      11   27   28   11
10T PPR dynasty        1.20      12   29   31   12
10T PPR dynasty        1.30      13   32   33   13
10T PPR dynasty        1.40      14   34   36   14
12T STD 1QB            1.00      12   30   30   12
12T STD 1QB            1.10      13   33   33   13
12T STD 1QB            1.20      14   36   36   14
12T STD 1QB            1.30      16   39   39   16
12T STD 1QB            1.40      17   42   42   17
12T STD SFLEX          1.00      24   30   30   12
12T STD SFLEX          1.10      26   33   33   13
12T STD SFLEX          1.20      29   36   36   14
12T STD SFLEX          1.30      31   39   39   16
12T STD SFLEX          1.40      34   42   42   17
12T STD 2QB            1.00      24   30   30   12
12T STD 2QB            1.10      26   33   33   13
12T STD 2QB            1.20      29   36   36   14
12T STD 2QB            1.30      31   39   39   16
12T STD 2QB            1.40      34   42   42   17
12T STD 2TE            1.00      12   29   29   26
12T STD 2TE            1.10      13   32   32   29
12T STD 2TE            1.20      14   35   35   32
12T STD 2TE            1.30      16   37   37   34
12T STD 2TE            1.40      17   40   40   37
12T STD noK            1.00      12   30   30   12
12T STD noK            1.10      13   33   33   13
12T STD noK            1.20      14   36   36   14
12T STD noK            1.30      16   39   39   16
12T STD noK            1.40      17   42   42   17
12T STD 0FLEX          1.00      12   24   24   12
12T STD 0FLEX          1.10      13   26   26   13
12T STD 0FLEX          1.20      14   29   29   14
12T STD 0FLEX          1.30      16   31   31   16
12T STD 0FLEX          1.40      17   34   34   17
12T STD 3FLEX          1.00      12   42   42   12
12T STD 3FLEX          1.10      13   46   46   13
12T STD 3FLEX          1.20      14   50   50   14
12T STD 3FLEX          1.30      16   55   55   16
12T STD 3FLEX          1.40      17   59   59   17
12T HALF 1QB           1.00      12   29   31   12
12T HALF 1QB           1.10      13   32   34   13
12T HALF 1QB           1.20      14   35   37   14
12T HALF 1QB           1.30      16   38   40   16
12T HALF 1QB           1.40      17   41   43   17
12T HALF SFLEX         1.00      24   29   31   12
12T HALF SFLEX         1.10      26   32   34   13
12T HALF SFLEX         1.20      29   35   37   14
12T HALF SFLEX         1.30      31   38   40   16
12T HALF SFLEX         1.40      34   41   43   17
12T HALF 2QB           1.00      24   29   31   12
12T HALF 2QB           1.10      26   32   34   13
12T HALF 2QB           1.20      29   35   37   14
12T HALF 2QB           1.30      31   38   40   16
12T HALF 2QB           1.40      34   41   43   17
12T HALF 2TE           1.00      12   28   29   26
12T HALF 2TE           1.10      13   31   32   29
12T HALF 2TE           1.20      14   34   35   31
12T HALF 2TE           1.30      16   37   38   34
12T HALF 2TE           1.40      17   40   41   37
12T HALF noK           1.00      12   29   31   12
12T HALF noK           1.10      13   32   34   13
12T HALF noK           1.20      14   35   37   14
12T HALF noK           1.30      16   38   40   16
12T HALF noK           1.40      17   41   43   17
12T HALF 0FLEX         1.00      12   24   24   12
12T HALF 0FLEX         1.10      13   26   26   13
12T HALF 0FLEX         1.20      14   29   29   14
12T HALF 0FLEX         1.30      16   31   31   16
12T HALF 0FLEX         1.40      17   34   34   17
12T HALF 3FLEX         1.00      12   40   44   12
12T HALF 3FLEX         1.10      13   44   48   13
12T HALF 3FLEX         1.20      14   48   53   14
12T HALF 3FLEX         1.30      16   52   57   16
12T HALF 3FLEX         1.40      17   56   62   17
12T PPR 1QB            1.00      12   29   31   12
12T PPR 1QB            1.10      13   32   34   13
12T PPR 1QB            1.20      14   35   37   14
12T PPR 1QB            1.30      16   38   40   16
12T PPR 1QB            1.40      17   41   43   17
12T PPR SFLEX          1.00      24   29   31   12
12T PPR SFLEX          1.10      26   32   34   13
12T PPR SFLEX          1.20      29   35   37   14
12T PPR SFLEX          1.30      31   38   40   16
12T PPR SFLEX          1.40      34   41   43   17
12T PPR 2QB            1.00      24   29   31   12
12T PPR 2QB            1.10      26   32   34   13
12T PPR 2QB            1.20      29   35   37   14
12T PPR 2QB            1.30      31   38   40   16
12T PPR 2QB            1.40      34   41   43   17
12T PPR 2TE            1.00      12   28   29   26
12T PPR 2TE            1.10      13   31   32   29
12T PPR 2TE            1.20      14   34   35   31
12T PPR 2TE            1.30      16   37   38   34
12T PPR 2TE            1.40      17   40   41   37
12T PPR noK            1.00      12   29   31   12
12T PPR noK            1.10      13   32   34   13
12T PPR noK            1.20      14   35   37   14
12T PPR noK            1.30      16   38   40   16
12T PPR noK            1.40      17   41   43   17
12T PPR 0FLEX          1.00      12   24   24   12
12T PPR 0FLEX          1.10      13   26   26   13
12T PPR 0FLEX          1.20      14   29   29   14
12T PPR 0FLEX          1.30      16   31   31   16
12T PPR 0FLEX          1.40      17   34   34   17
12T PPR 3FLEX          1.00      12   40   44   12
12T PPR 3FLEX          1.10      13   44   48   13
