# Replacement-level sensitivity sweep
# generated 2026-08-17T04:46:48.341Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
14T PPR 2TE            1.20      17   40   41   37
14T PPR 2TE            1.30      18   43   45   40
14T PPR 2TE            1.40      20   46   48   43

## 2. Effect of the cushion on player ordering vs the 1.2 baseline

This is the decision-relevant question. Within a position the
transform is monotonic in posRank, so intra-position order cannot
move; only CROSS-position order can. Draft board, waiver ranking and
trade grades all read this same ordering.

shape                  cushion  inversionRate  top12churn  top24churn  maxAbsTVdelta
8T STD 1QB             1.00    0.0350         0           0          20
8T STD 1QB             1.10    0.0169         0           0          10
8T STD 1QB             1.30    0.0169         0           0           8
8T STD 1QB             1.40    0.0276         0           0          14
8T STD SFLEX           1.00    0.0229         0           0          20
8T STD SFLEX           1.10    0.0125         0           0          10
8T STD SFLEX           1.30    0.0114         0           0          10
8T STD SFLEX           1.40    0.0142         0           0          14
8T STD 2QB             1.00    0.0229         0           0          20
8T STD 2QB             1.10    0.0125         0           0          10
8T STD 2QB             1.30    0.0114         0           0          10
8T STD 2QB             1.40    0.0142         0           0          14
8T STD 2TE             1.00    0.0249         1           1          20
8T STD 2TE             1.10    0.0118         0           1          10
8T STD 2TE             1.30    0.0139         0           1           8
8T STD 2TE             1.40    0.0221         0           1          15
8T HALF 1QB            1.00    0.0423         1           1          20
8T HALF 1QB            1.10    0.0249         1           1          12
8T HALF 1QB            1.30    0.0175         1           1           8
8T HALF 1QB            1.40    0.0293         1           1          15
8T HALF SFLEX          1.00    0.0315         0           1          20
8T HALF SFLEX          1.10    0.0204         0           1          12
8T HALF SFLEX          1.30    0.0115         0           0          10
8T HALF SFLEX          1.40    0.0156         0           0          15
8T HALF 2QB            1.00    0.0315         0           1          20
8T HALF 2QB            1.10    0.0204         0           1          12
8T HALF 2QB            1.30    0.0115         0           0          10
8T HALF 2QB            1.40    0.0156         0           0          15
8T HALF 2TE            1.00    0.0249         0           1          20
8T HALF 2TE            1.10    0.0125         0           1          10
8T HALF 2TE            1.30    0.0143         0           1           8
